0,"(22.55255583190918, 0.7123010849952698)"
1,"(23.136701248168944, 0.7188195843696594)"
2,"(23.47909294128418, 0.7167288370132446)"
3,"(22.87248225402832, 0.7172039251327514)"
4,"(23.50692352294922, 0.7252683544158935)"
